ProductName,Category,Brand,UnitPrice
Bird Cage,Kitchen & Dining,LuxeAura,114
Juicer,Sports & Recreation,EtherealEdge,351
Wi-Fi Extender,Electronics,EtherealEdge,778
Dehumidifier,Outdoor & Garden,EtherealEdge,960
Wi-Fi Extender,Arts & Crafts,LuxeAura,744
Coffee Maker,Pets,ZenithStyle,744
Showerhead,Arts & Crafts,EtherealEdge,285
Volleyball,Toys & Games,ZenithStyle,904
Drone,Pets,UrbanGlow,774
Pet Toy,Home Appliances,EtherealEdge,665
Grill,Pets,UrbanGlow,724
Monitor,Electronics,ZenithStyle,355
Golf Clubs,Toys & Games,UrbanGlow,564
Sewing Machine,Kitchen & Dining,UrbanGlow,1000
Dog Collar,Sports & Recreation,LuxeAura,575
3D Printer,Sports & Recreation,EtherealEdge,601
Snowboard,Kitchen & Dining,ZenithStyle,959
Bicycle,Arts & Crafts,UrbanGlow,377
Garden Tools,Health & Fitness,UrbanGlow,119
Tackle Box,Electronics,VelvetVista,672
Cat Tree,Electronics,LuxeAura,108
Thermos,Home Appliances,LuxeAura,909
Patio Furniture,Home Appliances,LuxeAura,352
Water Filter,Toys & Games,VelvetVista,585
Tablet,Home Appliances,VelvetVista,597
Humidifier,Health & Fitness,EtherealEdge,629
Sleeping Bag,Pets,ZenithStyle,748
Lamp,Pets,LuxeAura,303
Pillow,Arts & Crafts,ZenithStyle,786
Microwave,Kitchen & Dining,ZenithStyle,876
Golf Clubs,Electronics,UrbanGlow,584
Snowboard,Toys & Games,VelvetVista,152
Toothpaste,Health & Fitness,VelvetVista,517
Outdoor Umbrella,Toys & Games,EtherealEdge,963
Hiking Boots,Kitchen & Dining,ZenithStyle,633
Portable Charger,Outdoor & Garden,UrbanGlow,233
Bird Feeder,Pets,EtherealEdge,199
Trekking Poles,Electronics,ZenithStyle,825
Treadmill,Electronics,EtherealEdge,747
Humidifier,Outdoor & Garden,EtherealEdge,290
Yoga Mat,Pets,UrbanGlow,211
Binoculars,Home & Furniture,UrbanGlow,531
VR Headset,Arts & Crafts,EtherealEdge,897
Refrigerator,Electronics,VelvetVista,893
Badminton Set,Electronics,EtherealEdge,559
Snow Shovel,Outdoor & Garden,UrbanGlow,189
Sleeping Bag,Outdoor & Garden,UrbanGlow,971
Snowboard,Outdoor & Garden,LuxeAura,139
Portable Charger,Health & Fitness,ZenithStyle,518
Puzzle,Home & Furniture,VelvetVista,608
Hiking Backpack,Kitchen & Dining,LuxeAura,109
Monitor,Pets,UrbanGlow,392
Oven,Home & Furniture,UrbanGlow,102
Cat Litter Box,Electronics,VelvetVista,752
Plant Pot,Home Appliances,EtherealEdge,203
Lawn Mower,Health & Fitness,ZenithStyle,373
Paddleboard,Outdoor & Garden,UrbanGlow,921
Treadmill,Sports & Recreation,UrbanGlow,344
Cooler,Arts & Crafts,ZenithStyle,603
Dehumidifier,Toys & Games,ZenithStyle,741
Garden Tools,Electronics,LuxeAura,757
Camera,Arts & Crafts,VelvetVista,565
Ice Skates,Toys & Games,UrbanGlow,199
Jacket,Pets,ZenithStyle,773
Lawn Sprinkler,Kitchen & Dining,LuxeAura,520
Surfboard,Outdoor & Garden,UrbanGlow,320
Outdoor Umbrella,Arts & Crafts,UrbanGlow,951
Building Blocks,Health & Fitness,EtherealEdge,532
Cat Litter Box,Pets,EtherealEdge,610
Cat Litter Box,Kitchen & Dining,LuxeAura,890
Headphones,Kitchen & Dining,VelvetVista,364
Glasses,Kitchen & Dining,LuxeAura,630
Speaker,Electronics,ZenithStyle,390
Flashlight,Electronics,LuxeAura,322
Surfboard,Kitchen & Dining,VelvetVista,928
Dog Leash,Health & Fitness,LuxeAura,802
Smart Doorbell,Outdoor & Garden,LuxeAura,318
Snorkel Gear,Kitchen & Dining,EtherealEdge,613
Golf Clubs,Health & Fitness,VelvetVista,377
Vacuum Cleaner,Kitchen & Dining,LuxeAura,756
Hair Dryer,Kitchen & Dining,ZenithStyle,434
Sleeping Bag,Toys & Games,UrbanGlow,255
Fitness Tracker,Kitchen & Dining,EtherealEdge,775
Elliptical,Toys & Games,EtherealEdge,746
Toothpaste,Home & Furniture,VelvetVista,147
Dumbbells,Electronics,LuxeAura,992
VR Headset,Home & Furniture,EtherealEdge,181
Smartphone,Health & Fitness,VelvetVista,363
Suitcase,Home Appliances,EtherealEdge,833
Water Filter,Sports & Recreation,VelvetVista,944
Portable Hard Drive,Toys & Games,EtherealEdge,968
Smart Doorbell,Kitchen & Dining,LuxeAura,574
Rain Jacket,Pets,VelvetVista,723
Fish Food,Sports & Recreation,ZenithStyle,678
Craft Kit,Arts & Crafts,LuxeAura,882
Thermos,Arts & Crafts,UrbanGlow,251
Electric Kettle,Toys & Games,EtherealEdge,329
Robot Vacuum,Arts & Crafts,LuxeAura,852
Bird Cage,Pets,VelvetVista,406
Projector,Health & Fitness,UrbanGlow,412
Cat Litter Box,Pets,UrbanGlow,247
Laptop,Outdoor & Garden,LuxeAura,453
Vacuum Cleaner,Outdoor & Garden,UrbanGlow,589
Juicer,Kitchen & Dining,ZenithStyle,304
Ski Poles,Electronics,VelvetVista,890
Humidifier,Toys & Games,LuxeAura,131
Ice Skates,Home & Furniture,EtherealEdge,190
Bluetooth Speaker,Outdoor & Garden,UrbanGlow,332
Ping Pong Table,Kitchen & Dining,ZenithStyle,410
Snorkel Gear,Electronics,VelvetVista,163
Cooler,Sports & Recreation,UrbanGlow,120
Hair Dryer,Arts & Crafts,ZenithStyle,819
Bird Cage,Electronics,VelvetVista,144
Blender,Health & Fitness,ZenithStyle,897
Laser Printer,Health & Fitness,UrbanGlow,554
Sheets,Health & Fitness,ZenithStyle,561
Portable Hard Drive,Electronics,EtherealEdge,742
Thermos,Kitchen & Dining,ZenithStyle,324
Patio Furniture,Sports & Recreation,VelvetVista,653
Air Conditioner,Outdoor & Garden,LuxeAura,379
Stove,Pets,EtherealEdge,290
Garden Tools,Home Appliances,UrbanGlow,110
Electric Toothbrush,Outdoor & Garden,UrbanGlow,533
Antivirus,Home & Furniture,ZenithStyle,345
Tablet,Health & Fitness,UrbanGlow,654
Rain Jacket,Outdoor & Garden,LuxeAura,760
Fish Food,Arts & Crafts,ZenithStyle,973
Sleeping Bag,Home Appliances,LuxeAura,587
Water Bottle,Arts & Crafts,LuxeAura,300
Memory Card,Pets,EtherealEdge,603
Puzzle,Outdoor & Garden,ZenithStyle,505
Juicer,Health & Fitness,EtherealEdge,277
Fitness Tracker,Outdoor & Garden,LuxeAura,957
Laptop,Kitchen & Dining,VelvetVista,353
Hiking Backpack,Home & Furniture,ZenithStyle,246
Doll,Health & Fitness,ZenithStyle,930
Mattress,Outdoor & Garden,EtherealEdge,756
Drone,Outdoor & Garden,LuxeAura,314
Sled,Electronics,VelvetVista,232
Tennis Racket,Health & Fitness,EtherealEdge,441
Hammock,Kitchen & Dining,LuxeAura,364
Backpack,Toys & Games,UrbanGlow,556
Dog Collar,Pets,EtherealEdge,603
Portable Hard Drive,Toys & Games,VelvetVista,938
Vacuum Cleaner,Arts & Crafts,ZenithStyle,716
Doll,Outdoor & Garden,LuxeAura,500
3D Printer,Home & Furniture,EtherealEdge,267
Bird Cage,Home Appliances,UrbanGlow,621
Bed,Toys & Games,ZenithStyle,613
Electric Car,Arts & Crafts,UrbanGlow,204
Hammock,Home Appliances,EtherealEdge,251
Hiking Backpack,Toys & Games,VelvetVista,450
Backpack,Sports & Recreation,UrbanGlow,730
Dart Board,Home & Furniture,EtherealEdge,336
BBQ Grill,Kitchen & Dining,EtherealEdge,571
Refrigerator,Pets,UrbanGlow,382
Golf Clubs,Toys & Games,UrbanGlow,544
Camera,Toys & Games,EtherealEdge,189
Air Purifier,Home Appliances,LuxeAura,529
Lawn Mower,Pets,UrbanGlow,918
Bed,Electronics,LuxeAura,544
Puzzle,Pets,ZenithStyle,611
Wetsuit,Sports & Recreation,ZenithStyle,671
Dog House,Electronics,UrbanGlow,272
Golf Clubs,Electronics,UrbanGlow,377
Robot Vacuum,Toys & Games,LuxeAura,505
Hair Dryer,Toys & Games,UrbanGlow,401
Grill,Home & Furniture,EtherealEdge,104
Plant Pot,Arts & Crafts,EtherealEdge,638
Air Conditioner,Kitchen & Dining,EtherealEdge,654
Portable Charger,Pets,ZenithStyle,733
Toy Car,Electronics,EtherealEdge,170
Treadmill,Electronics,EtherealEdge,589
Sled,Home & Furniture,VelvetVista,679
Refrigerator,Kitchen & Dining,ZenithStyle,223
Hammock,Home & Furniture,VelvetVista,214
Tackle Box,Home Appliances,VelvetVista,448
Paddleboard,Kitchen & Dining,EtherealEdge,838
Wetsuit,Kitchen & Dining,VelvetVista,841
VR Headset,Electronics,EtherealEdge,289
Lawn Sprinkler,Kitchen & Dining,ZenithStyle,887
Bicycle,Home Appliances,VelvetVista,350
Juicer,Arts & Crafts,VelvetVista,406
Bird Cage,Electronics,EtherealEdge,280
Camping Tent,Home Appliances,LuxeAura,338
Pet Carrier,Kitchen & Dining,ZenithStyle,864
Electric Shaver,Outdoor & Garden,UrbanGlow,430
Snow Shovel,Electronics,EtherealEdge,853
Action Figure,Home Appliances,UrbanGlow,972
Showerhead,Outdoor & Garden,EtherealEdge,655
Headphones,Pets,EtherealEdge,156
Dog Leash,Pets,VelvetVista,917
Tarp,Arts & Crafts,UrbanGlow,997
Basketball,Outdoor & Garden,ZenithStyle,634
Laptop,Electronics,VelvetVista,728
Doll,Home & Furniture,LuxeAura,183
Fitness Tracker,Health & Fitness,UrbanGlow,314
Oven,Electronics,LuxeAura,359
Rain Jacket,Health & Fitness,ZenithStyle,233
Humidifier,Home & Furniture,UrbanGlow,696
Telescope,Pets,EtherealEdge,400
Treadmill,Home & Furniture,VelvetVista,900
Dehumidifier,Outdoor & Garden,UrbanGlow,866
Baseball Glove,Electronics,UrbanGlow,737
Tennis Racket,Electronics,VelvetVista,449
Plant Pot,Outdoor & Garden,VelvetVista,967
Lawn Mower,Sports & Recreation,UrbanGlow,888
Art Supplies,Outdoor & Garden,VelvetVista,729
Paddleboard,Toys & Games,ZenithStyle,853
Plant Pot,Home Appliances,ZenithStyle,534
Stove,Home & Furniture,UrbanGlow,965
Sewing Machine,Health & Fitness,UrbanGlow,757
3D Printer,Sports & Recreation,ZenithStyle,984
Keyboard,Toys & Games,EtherealEdge,815
Basketball,Pets,ZenithStyle,224
Tennis Racket,Sports & Recreation,ZenithStyle,299
Building Blocks,Health & Fitness,VelvetVista,130
Camera,Health & Fitness,ZenithStyle,794
Life Jacket,Arts & Crafts,UrbanGlow,578
Glasses,Arts & Crafts,ZenithStyle,885
Router,Pets,EtherealEdge,913
Tackle Box,Health & Fitness,VelvetVista,580
Bluetooth Speaker,Home Appliances,EtherealEdge,763
Smart Thermostat,Outdoor & Garden,VelvetVista,954
Suitcase,Electronics,LuxeAura,990
